phi,coronal,sagittal
0.38,0.682211,0.619304
0.380714,0.728695,0.497672
0.381429,0.395477,0.680247
0.382143,0.703162,0.621748
0.382857,0.684916,0.620369
0.383571,0.735963,0.499727
0.384286,0.641656,0.66888
0.385,0.378952,0.645786
0.385714,0.756911,0.501213
0.386429,0.65717,0.663882
0.387143,0.659278,0.633294
0.387857,0.370278,0.631857
0.388571,0.758465,0.499048
0.389286,0.652306,0.666075
0.39,0.656037,0.634638
0.390714,0.328613,0.492145
0.391429,0.672736,0.671341
0.392143,0.674381,0.639429
0.392857,0.668778,0.626224
0.393571,0.713693,0.493637
0.394286,0.382059,0.678134
0.395,0.680157,0.628707
0.395714,0.676377,0.617794
0.396429,0.34693,0.482412
0.397143,0.682186,0.666552
0.397857,0.685545,0.633579
0.398571,0.686243,0.614037
0.399286,0.726242,0.491452
0.4,0.639933,0.663799
0.400714,0.372051,0.637551
0.401429,0.748708,0.490913
0.402143,0.662008,0.656633
0.402857,0.669908,0.622601
0.403571,0.351474,0.47362
0.404286,0.686145,0.658792
0.405,0.691293,0.624145
0.405714,0.693459,0.603502
0.406429,0.726033,0.480296
0.407143,0.648877,0.652472
0.407857,0.372628,0.626926
0.408571,0.752285,0.479162
0.409286,0.671635,0.644261
0.41,0.684121,0.60654
0.410714,0.710682,0.470785
0.411429,0.38544,0.65816
0.412143,0.705813,0.596752
0.412857,0.727483,0.46822
0.413571,0.665171,0.641397
0.414286,0.67644,0.602773
0.415,0.360829,0.447167
0.415714,0.692353,0.638653
0.416429,0.707179,0.595316
0.417143,0.727579,0.464854
0.417857,0.666804,0.633833
0.418571,0.679302,0.593955
0.419286,0.364174,0.436768
0.42,0.69535,0.629837
0.420714,0.707088,0.58691
0.421429,0.718984,0.449315
0.422143,0.681148,0.608676
0.422857,0.708233,0.455189
0.423571,0.386066,0.642561
0.424286,0.718462,0.574573
0.425,0.723431,0.441813
0.425714,0.692006,0.611339
0.426429,0.716393,0.450315
0.427143,0.672931,0.61839
0.427857,0.370416,0.591479
0.428571,0.739282,0.431655
0.429286,0.708332,0.598564
0.43,0.735862,0.446311
0.430714,0.696115,0.603291
0.431429,0.714048,0.440006
0.432143,0.679128,0.609059
0.432857,0.380605,0.417515
0.433571,0.708759,0.611265
0.434286,0.723637,0.561297
0.435,0.713254,0.420762
0.435714,0.699151,0.593528
0.436429,0.706599,0.426234
0.437143,0.687146,0.599701
0.437857,0.701444,0.426215
0.438571,0.385667,0.614588
0.439286,0.744409,0.430015
0.44,0.718573,0.582538
0.440714,0.726927,0.428253
0.441429,0.705285,0.585783
0.442143,0.704801,0.417094
0.442857,0.693811,0.591163
0.443571,0.700732,0.416785
0.444286,0.69259,0.587051
0.445,0.394502,0.393397
0.445714,0.728806,0.583541
0.446429,0.725954,0.42641
0.447143,0.716637,0.579363
0.447857,0.711958,0.417883
0.448571,0.698884,0.583397
0.449286,0.699218,0.408885
0.45,0.697956,0.579949
0.450714,0.398905,0.386489
0.451429,0.730385,0.57701
0.452143,0.727649,0.419771
0.452857,0.717225,0.572666
0.453571,0.714991,0.411079
0.454286,0.70622,0.572115
0.455,0.696729,0.402616
0.455714,0.701878,0.573
0.456429,0.695071,0.403929
0.457143,0.392714,0.417659
0.457857,0.722473,0.593253
0.458571,0.738898,0.535437
0.459286,0.706417,0.392395
0.46,0.731429,0.444193
0.460714,0.715965,0.575271
0.461429,0.702687,0.40726
0.462143,0.700266,0.573745
0.462857,0.692372,0.399863
0.463571,0.381388,0.589078
0.464286,0.731366,0.396336
0.465,0.752686,0.447219
0.465714,0.729706,0.57087
0.466429,0.717034,0.409493
0.467143,0.716282,0.565895
0.467857,0.697655,0.394536
0.468571,0.708258,0.567711
0.469286,0.694459,0.396512
0.47,0.71575,0.43852
0.470714,0.696289,0.582763
0.471429,0.400448,0.379868
0.472143,0.737692,0.569613
0.472857,0.719868,0.412649
0.473571,0.721484,0.566204
0.474286,0.710119,0.404696
0.475,0.707907,0.566855
0.475714,0.69345,0.397648
0.476429,0.714362,0.439408
0.477143,0.694176,0.584545
0.477857,0.398478,0.381549
0.478571,0.736729,0.571991
0.479286,0.718984,0.414942
0.48,0.720478,0.569183
0.480714,0.708723,0.407522
0.481429,0.706912,0.570386
0.482143,0.693568,0.401686
0.482857,0.698488,0.573853
0.483571,0.397907,0.380376
0.484286,0.726635,0.574485
0.485,0.728079,0.415594
0.485714,0.712015,0.572059
0.486429,0.702717,0.402783
0.487143,0.703805,0.57591
0.487857,0.698167,0.405337
0.488571,0.717098,0.447582
0.489286,0.688927,0.594108
0.49,0.366363,0.563225
0.490714,0.732869,0.400213
0.491429,0.759755,0.456604
0.492143,0.72054,0.58072
0.492857,0.719861,0.420736
0.493571,0.706035,0.581285
0.494286,0.708036,0.416355
0.495,0.694705,0.584815
0.495714,0.692871,0.414928
0.496429,0.379728,0.607705
0.497143,0.74583,0.424549
0.497857,0.742696,0.461998
0.498571,0.697549,0.605332
